Play Prior,Bet Prior,Fold Prior,Has Pair Raise Prior,No Pair Raise Prior,Number Of Players,Position,Pot Size,Action,Has Pair
1.00000,0.68874,0.17881,0.50000,0.58333,2,2,17369,B,0
1.00000,0.66667,0.21886,0.75000,0.65625,2,1,40918,c,0
1.00000,0.68647,0.17822,0.50000,0.56757,2,2,17369,k,0
1.00000,0.68750,0.17763,0.66667,0.56757,2,1,2742,B,1
1.00000,0.66779,0.21812,0.75000,0.66667,2,2,6460,B,0
1.00000,0.68852,0.17705,0.75000,0.56757,2,1,2742,r,1
1.00000,0.66890,0.21739,0.75000,0.67647,2,2,6460,r,0
1.00000,0.68627,0.17647,0.60000,0.56757,2,1,2742,c,1
1.00000,0.67093,0.22045,0.75000,0.68571,2,1,40908,B,0
1.00000,0.68750,0.18125,0.60000,0.57895,2,2,17378,B,0
1.00000,0.66879,0.21975,0.75000,0.66667,2,1,40908,c,0
1.00000,0.68536,0.18069,0.60000,0.56410,2,2,17378,k,0
1.00000,0.66667,0.22865,0.75000,0.67568,2,1,40918,B,0
1.00000,0.68733,0.18598,0.60000,0.57500,2,2,17369,B,0
1.00000,0.66484,0.22802,0.75000,0.65789,2,1,40918,c,0
1.00000,0.68548,0.18548,0.60000,0.56098,2,2,17369,k,0
1.00000,0.68435,0.18568,0.60000,0.57143,2,1,7443,B,0
1.00000,0.66848,0.22554,0.75000,0.66667,2,2,17537,B,0
1.00000,0.68519,0.18519,0.60000,0.58140,2,1,7443,r,0
1.00000,0.66667,0.22493,0.75000,0.65000,2,2,17537,c,0
1.00000,0.68367,0.18622,0.60000,0.59091,2,1,2742,B,0
1.00000,0.67277,0.21990,0.75000,0.65854,2,2,6460,B,0
1.00000,0.68448,0.18575,0.60000,0.60000,2,1,2742,r,0
1.00000,0.67363,0.21932,0.75000,0.66667,2,2,6460,r,0
1.00000,0.68274,0.18528,0.60000,0.58696,2,1,2742,c,0
1.00000,0.67765,0.18588,0.60000,0.59574,2,1,7443,B,0
1.00000,0.68537,0.20976,0.75000,0.67442,2,2,17536,B,0
1.00000,0.67606,0.18545,0.60000,0.58333,2,1,7443,c,0
1.00000,0.68613,0.20925,0.75000,0.68182,2,2,17536,r,0
1.00000,0.67447,0.18501,0.60000,0.57143,2,1,7443,c,0
1.00000,0.69142,0.20418,0.75000,0.68889,2,1,17538,B,0
1.00000,0.67261,0.18263,0.60000,0.58000,2,2,7442,B,0
1.00000,0.69213,0.20370,0.75000,0.69565,2,1,17538,r,0
1.00000,0.67111,0.18222,0.60000,0.56863,2,2,7442,c,0
1.00000,0.69178,0.20548,0.75000,0.70213,2,1,17538,B,0
1.00000,0.67325,0.18202,0.60000,0.57692,2,2,7441,B,0
1.00000,0.69248,0.20501,0.75000,0.70833,2,1,17538,r,0
1.00000,0.67177,0.18162,0.60000,0.56604,2,2,7441,c,0
1.00000,0.67249,0.18122,0.60000,0.57407,2,1,7442,B,0
1.00000,0.69318,0.20455,0.75000,0.71429,2,2,17538,B,0
1.00000,0.67320,0.18083,0.60000,0.58182,2,1,7442,r,0
1.00000,0.69161,0.20408,0.75000,0.70000,2,2,17538,c,0
1.00000,0.69231,0.20362,0.75000,0.70588,2,1,40919,B,0
1.00000,0.67391,0.18043,0.60000,0.58929,2,2,17368,B,0
