Play Prior,Bet Prior,Fold Prior,Average Number Of Players,Beginning Chip Count Vs Table Average,Is Winning
0.90909,0.20192,0.11538,3.4326923076923075,2.7215,0
0.63636,0.09615,0.17308,5.153846153846154,0.1243,0
0.81818,0.11881,0.11881,4.207920792079208,0.0988,1
0.71429,0.10784,0.18627,4.068627450980392,0.5821,0
0.86364,0.23529,0.07843,3.803921568627451,2.9291,0
0.63636,0.11650,0.15534,4.796116504854369,0.1010,0
0.54545,0.09709,0.19417,5.155339805825243,0.6730,0
0.80952,0.21000,0.14000,5.34,3.8076,0
0.47826,0.10577,0.19231,5.269230769230769,0.1163,0
0.54545,0.08738,0.17476,4.980582524271845,0.1394,0
0.63636,0.11765,0.14706,5.029411764705882,0.9532,1
0.56522,0.10577,0.17308,5.846153846153846,0.2258,1
0.63636,0.12000,0.17000,6.01,0.1343,1
0.72727,0.15385,0.17308,6.134615384615385,0.3176,0
0.56522,0.10680,0.15534,7.436893203883495,0.3181,1
0.71429,0.07000,0.17000,7.21,0.3367,1
0.36364,0.05000,0.19000,7.83,0.4207,1
0.33333,0.06796,0.20388,8.145631067961165,2.4740,0
0.56522,0.06931,0.18812,8.217821782178218,2.6404,0
0.47826,0.05825,0.20388,8.737864077669903,0.1887,0
0.33333,0.05825,0.20388,8.854368932038835,0.4461,0
0.47826,0.09000,0.17000,8.91,0.5396,1
0.57143,0.06000,0.18000,8.86,0.7422,0
0.65217,0.08654,0.14423,8.682692307692308,0.2365,1
0.36364,0.07000,0.18000,8.68,0.4334,1
0.43478,0.06796,0.19417,8.650485436893204,3.0283,0
0.59091,0.05941,0.17822,8.94059405940594,0.1934,0
0.43478,0.06796,0.19417,8.601941747572816,2.6286,1
0.59091,0.06796,0.16505,8.514563106796116,0.9337,1
0.50000,0.06796,0.19417,8.41747572815534,0.2209,1
0.60870,0.06863,0.21569,8.362745098039216,0.6724,0
0.45455,0.04950,0.20792,8.613861386138614,0.3711,0
0.56522,0.08824,0.15686,7.0588235294117645,3.2025,1
0.69565,0.05941,0.13861,8.623762376237623,0.1433,0
0.37500,0.03960,0.21782,8.732673267326733,2.3735,0
0.39130,0.08911,0.18812,8.910891089108912,0.1212,0
0.45455,0.05000,0.19000,8.86,1.8858,0
0.47826,0.05714,0.19048,9.123809523809523,0.5708,0
0.34783,0.07000,0.20000,9.56,0.0370,0
0.72727,0.05825,0.14563,10.0,0.0264,0
0.43478,0.05000,0.16000,9.88,0.4099,1
0.59091,0.05000,0.18000,9.94,0.2520,1
0.47826,0.10891,0.17822,6.623762376237623,1.6900,0
0.65217,0.07843,0.14706,10.0,0.1052,1
0.39130,0.07000,0.20000,10.0,1.8849,0
0.39130,0.04902,0.19608,10.0,1.7446,1
0.47826,0.04000,0.20000,9.58,0.2004,0
0.47826,0.06931,0.19802,10.0,0.8298,1
0.34783,0.05941,0.20792,10.0,0.0645,1
0.56522,0.04000,0.17000,8.48,0.6121,0
0.45455,0.04950,0.18812,10.0,0.5969,0
0.34783,0.05000,0.22000,10.0,0.0660,0
0.47826,0.04000,0.17000,10.0,0.3609,1
0.39130,0.03922,0.20588,10.0,2.5621,0
0.68182,0.05882,0.14706,10.0,0.1165,0
0.33333,0.04950,0.20792,10.0,2.4601,0
0.60870,0.07921,0.19802,10.0,2.1905,1
0.39130,0.06000,0.18000,10.0,0.7911,1
0.45833,0.04762,0.20952,8.847619047619048,1.1030,0
0.26087,0.04950,0.21782,10.0,0.0400,1
0.72727,0.03846,0.15385,10.0,0.9179,1
0.45455,0.04000,0.19000,10.0,0.2946,0
0.77273,0.04000,0.16000,10.0,0.0483,1
0.54167,0.11538,0.15385,9.586538461538462,5.6747,0
0.59091,0.06931,0.17822,10.0,0.8183,1
0.25000,0.04902,0.22549,10.0,0.9271,0
0.34783,0.04808,0.20192,10.0,0.3084,1
0.43478,0.04902,0.20588,10.0,0.7407,0
0.52174,0.04854,0.21359,10.0,0.4832,0
0.65217,0.06796,0.17476,9.825242718446601,0.0536,1
0.65217,0.06796,0.19417,10.0,0.0279,0
0.52174,0.05825,0.21359,10.0,0.1748,1
0.85000,0.03883,0.13592,10.0,2.1752,0
0.47826,0.04902,0.22549,10.0,0.6528,0
0.60870,0.16000,0.15000,10.0,5.1189,1
0.39130,0.07843,0.18627,10.0,0.7313,1
0.40909,0.03883,0.19417,10.0,0.0680,0
0.59091,0.08000,0.18000,9.88,0.4200,0
0.52381,0.05000,0.18000,9.83,0.0363,0
0.54545,0.04000,0.19000,9.87,0.0241,1
0.63636,0.03922,0.14706,9.92156862745098,0.1390,1
0.52174,0.03922,0.19608,9.754901960784315,0.0104,0
0.54545,0.07000,0.20000,9.6,0.4002,1
0.50000,0.04950,0.17822,9.683168316831683,5.8316,1
0.54167,0.15686,0.16667,9.5,3.0599,1
0.45833,0.05825,0.17476,9.25242718446602,0.0251,0
0.56522,0.06931,0.17822,8.455445544554456,0.0205,1
0.54545,0.05825,0.18447,8.16504854368932,0.0687,0
0.52174,0.03960,0.20792,7.811881188118812,0.0313,1
0.76190,0.05825,0.17476,7.825242718446602,0.0054,0
0.43478,0.05941,0.21782,7.772277227722772,0.2571,0
0.43478,0.08000,0.20000,7.74,4.8328,0
0.59091,0.05825,0.14563,8.475728155339805,1.3431,1
0.59091,0.06931,0.17822,6.772277227722772,0.3856,0
0.73913,0.07692,0.17308,8.89423076923077,0.0288,0
0.71429,0.04902,0.18627,9.03921568627451,0.0138,1
0.60870,0.05882,0.16667,9.686274509803921,0.2457,0
0.54545,0.03883,0.16505,9.310679611650485,0.0145,1
0.52381,0.05941,0.17822,9.405940594059405,6.5394,0
0.50000,0.05882,0.20588,9.450980392156863,0.3552,1
0.56522,0.03883,0.17476,9.805825242718447,1.6784,1
0.30435,0.06000,0.22000,9.8,0.3869,0
0.63636,0.12745,0.16667,9.92156862745098,0.2132,0
0.76190,0.05882,0.15686,9.92156862745098,0.0157,1
