@relation iswinning-final

@attribute 'Play Prior' numeric
@attribute 'Bet Prior' numeric
@attribute 'Fold Prior' numeric
@attribute 'Average Number Of Players' numeric
@attribute 'Beginning Chip Count Vs Table Average' numeric
@attribute 'Is Winning' {0,1}

@data
0.56522,0.10577,0.17308,5.846154,0.2258,1
0.63636,0.12,0.17,6.01,0.1343,1
0.72727,0.15385,0.17308,6.134615,0.3176,0
0.56522,0.1068,0.15534,7.436893,0.3181,1
0.71429,0.07,0.17,7.21,0.3367,1
0.36364,0.05,0.19,7.83,0.4207,1
0.33333,0.06796,0.20388,8.145631,2.474,0
0.56522,0.06931,0.18812,8.217822,2.6404,0
0.47826,0.05825,0.20388,8.737864,0.1887,0
0.33333,0.05825,0.20388,8.854369,0.4461,0
0.47826,0.09,0.17,8.91,0.5396,1
0.57143,0.06,0.18,8.86,0.7422,0
0.65217,0.08654,0.14423,8.682692,0.2365,1
0.36364,0.07,0.18,8.68,0.4334,1
0.43478,0.06796,0.19417,8.650485,3.0283,0
0.59091,0.05941,0.17822,8.940594,0.1934,0
0.43478,0.06796,0.19417,8.601942,2.6286,1
0.59091,0.06796,0.16505,8.514563,0.9337,1
0.5,0.06796,0.19417,8.417476,0.2209,1
0.6087,0.06863,0.21569,8.362745,0.6724,0
0.45455,0.0495,0.20792,8.613861,0.3711,0
0.56522,0.08824,0.15686,7.058824,3.2025,1
0.69565,0.05941,0.13861,8.623762,0.1433,0
0.375,0.0396,0.21782,8.732673,2.3735,0
0.3913,0.08911,0.18812,8.910891,0.1212,0
0.45455,0.05,0.19,8.86,1.8858,0
0.47826,0.05714,0.19048,9.12381,0.5708,0
0.34783,0.07,0.2,9.56,0.037,0
0.72727,0.05825,0.14563,10,0.0264,0
0.43478,0.05,0.16,9.88,0.4099,1
0.59091,0.05,0.18,9.94,0.252,1
0.47826,0.10891,0.17822,6.623762,1.69,0
0.65217,0.07843,0.14706,10,0.1052,1
0.3913,0.07,0.2,10,1.8849,0
0.3913,0.04902,0.19608,10,1.7446,1
0.47826,0.04,0.2,9.58,0.2004,0
0.47826,0.06931,0.19802,10,0.8298,1
0.34783,0.05941,0.20792,10,0.0645,1
0.56522,0.04,0.17,8.48,0.6121,0
0.45455,0.0495,0.18812,10,0.5969,0
0.34783,0.05,0.22,10,0.066,0
0.47826,0.04,0.17,10,0.3609,1
0.3913,0.03922,0.20588,10,2.5621,0
0.68182,0.05882,0.14706,10,0.1165,0
