hand1,hand2,board1,board2,board3,board4,board5,playerCount,position,potSize,Action
-,-,7s,6d,3h,Kc,-,9,6,296,-
-,-,7s,6d,3h,Kc,-,9,7,24,-
9d,5d,7s,6d,3h,Kc,-,9,8,1236,k
-,-,7s,6d,3h,Kc,-,9,9,301,-
-,-,7s,6d,3h,Kc,Qd,9,1,81,-
-,-,7s,6d,3h,Kc,Qd,9,2,58,-
-,-,7s,6d,3h,Kc,Qd,9,3,35,-
-,-,7s,6d,3h,Kc,Qd,9,4,23,-
5c,6s,7s,6d,3h,Kc,Qd,9,5,4,k
-,-,7s,6d,3h,Kc,Qd,9,6,296,-
-,-,7s,6d,3h,Kc,Qd,9,7,24,-
9d,5d,7s,6d,3h,Kc,Qd,9,8,1236,k
-,-,7s,6d,3h,Kc,Qd,9,9,301,-
Ks,Jh,-,-,-,-,-,10,1,262,B
-,-,-,-,-,-,-,10,10,362,f
-,-,-,-,-,-,-,10,2,160,B
-,-,-,-,-,-,-,10,3,108,f
-,-,-,-,-,-,-,10,4,21,f
Jd,9d,-,-,-,-,-,10,5,1340,c
-,-,-,-,-,-,-,10,6,110,f
5d,2d,-,-,-,-,-,10,7,5583,r
-,-,-,-,-,-,-,10,8,1362,f
-,-,-,-,-,-,-,10,9,369,f
Ks,Jh,-,-,-,-,-,10,1,262,c
-,-,-,-,-,-,-,10,2,160,f
Jd,9d,-,-,-,-,-,10,5,1340,c
Ks,Jh,Kc,As,7d,-,-,10,1,262,k
-,-,Kc,As,7d,-,-,10,10,362,-
-,-,Kc,As,7d,-,-,10,2,160,-
-,-,Kc,As,7d,-,-,10,3,108,-
-,-,Kc,As,7d,-,-,10,4,21,-
Jd,9d,Kc,As,7d,-,-,10,5,1340,k
-,-,Kc,As,7d,-,-,10,6,110,-
5d,2d,Kc,As,7d,-,-,10,7,5583,k
-,-,Kc,As,7d,-,-,10,8,1362,-
-,-,Kc,As,7d,-,-,10,9,369,-
Ks,Jh,Kc,As,7d,5s,-,10,1,262,k
-,-,Kc,As,7d,5s,-,10,10,362,-
-,-,Kc,As,7d,5s,-,10,2,160,-
-,-,Kc,As,7d,5s,-,10,3,108,-
-,-,Kc,As,7d,5s,-,10,4,21,-
Jd,9d,Kc,As,7d,5s,-,10,5,1340,k
-,-,Kc,As,7d,5s,-,10,6,110,-
5d,2d,Kc,As,7d,5s,-,10,7,5583,k
-,-,Kc,As,7d,5s,-,10,8,1362,-
-,-,Kc,As,7d,5s,-,10,9,369,-
Ks,Jh,Kc,As,7d,5s,Ac,10,1,262,k
-,-,Kc,As,7d,5s,Ac,10,10,362,-
-,-,Kc,As,7d,5s,Ac,10,2,160,-
-,-,Kc,As,7d,5s,Ac,10,3,108,-
-,-,Kc,As,7d,5s,Ac,10,4,21,-
Jd,9d,Kc,As,7d,5s,Ac,10,5,1340,k
-,-,Kc,As,7d,5s,Ac,10,6,110,-
5d,2d,Kc,As,7d,5s,Ac,10,7,5583,k
-,-,Kc,As,7d,5s,Ac,10,8,1362,-
-,-,Kc,As,7d,5s,Ac,10,9,369,-
Qs,Jd,-,-,-,-,-,10,1,497,B
-,-,-,-,-,-,-,10,10,815,f
-,-,-,-,-,-,-,10,2,335,B
-,-,-,-,-,-,-,10,3,65,f
-,-,-,-,-,-,-,10,4,4156,f
-,-,-,-,-,-,-,10,5,344,f
-,-,-,-,-,-,-,10,6,17307,f
-,-,-,-,-,-,-,10,7,4223,c
Jh,Ks,-,-,-,-,-,10,8,1144,c
-,-,-,-,-,-,-,10,9,1125,f
